Issue Category,Description,Workarounds & Fixes,Additional Details
Delay,"Delay issues slow down the pace of character actions, stalling the reading of code blocks for 1 or more frames.",,"Delay bugs stack with each other, increasing delay further."
Delay,"If a move doesn't clear the C Cancel Codeblock, the move will get delayed by X frames, where X is the command buffer.",Add C Fail or a new C Cancel Codeblock to the beginning of moves.,Happens because a move repeatedly tries to cancel into itself.
Delay,"Attacks immediately out of blockstun have the first frame duplicated, resulting in +1 Startup in most situations.",Adjust blockstun as needed.,Effects both attacker and defender.
Delay,Objects visually are delayed by 1 frame when creating/destroying them. They will only visually update a frame after intended.,Tweak frame data with this info in mind.,"Logic still runs, just not the accompanying visual object."
,,,
Input,Input bugs cause issues with how inputs are parsed in the engine.,,
Input,"Command time doesn't account for hitstop, causing inputs to be dropped if the command time is shorter than the histop timer.","Using Command Times as long as Hitstop times, or using DS attacking to account for it.","COMs can get tricky, since they'd ideally need different times on hit/whiff."
Input,"""Hold"" repeatedly fires off the move as long as the button is held down, rather than only firing off once.",Use a hold into a button press to force the command list to properly fire off.,Negative edge is unsupported by the engine.
,,,
,,,
System,"System issues are caused by the core game system, and cause unintuitive issues during gameplay.",,
System,"Physics can still progress while Pausing. Has something to do with the frame data of images, or using objects in Pause.",Had to copy work from Wonderful World. Don't know the root issue.,No Image used at all also prevents the bug.