Bug Category,Description,Workarounds & Fixes,Additional Details
,,,
,,,
,,,
,,,
RC,"Quitting out during a ""Same"" [RC] causes the opponent to start in the air.",,
,,,
,,,
DS,[DS] will trigger from any object created by the entity that uses the [DS]. This includes objects that are inside another object created by that entity.,"Instead of using a [DS]: Use a variable and ""radio back"" using [V] codeblock in the move to diverge. You can put this Variable either inside a hitspark, or inside an object with a hitbox. ",Won't trigger if player itself didn't previously hit opponent. A [DS] inside an object won't trigger from a [DS] inside another object. This means putting a hitbox into an object and using a [DS] on the object itself is safe to do.
DS,[DS] Throw can't trigger from inside objects.,,
,,,
RP,An opponent can think they're on the opposite side as they're supposed to be if they attempt to spawn (number slotted?) objects during hit animation an enemy's RP is involved.,"Really not sure the true horrors behind this one. This is hard to avoid doing, and the bug happens somewhat uncommonly.",Results in the player being launched from the mirror of the RC/RP's X-Offset and/or the player not receiving corner pushback from the move.