Gravity,Framecount,Final Velocity,Final Position,,
+0.01,24,0.014,1,,estimated values
+0.02,24,0.029,3,,visual rounding errors (so this value +/- 0.005)
+0.03,24,0.043,4,,
+0.04,24,0.058,6,,
+0.05,24,0.072,8,,
+0.06,24,0.087,9,,
+0.07,24,0.101,11,,
+0.08,24,0.115,12,,
+0.09,24,0.130,14,,
+0.10,24,1.442,16,,
+0.2,24,2.88,33,,
+0.3,24,4.325,49,,
+0.4,24,5.76,66,,
+0.5,24,7.21,82,,
+0.6,24,8.645,99,,
+0.7,24,10.1,115,,
+0.8,24,11.52,132,,
+0.9,24,12.98,148,,
+1,24,14.41,165,,
+1.5,24,21.6,248,,
+2,24,29.8,331,,
,,,,,
Gravity is 1/1.67 as strong as listed in-engine,,,,,